item,itemLabel,sonderbundowner,sonderbundownerLabel,collection,collectionLabel
http://www.wikidata.org/entity/Q26221176,Two Poplars in the Alpilles near Saint-Rémy,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q657415,Cleveland Museum of Art
http://www.wikidata.org/entity/Q16939042,Jealousy,http://www.wikidata.org/entity/Q11157405,Rasmus Meyer,http://www.wikidata.org/entity/Q1770313,Art Museums of Bergen
http://www.wikidata.org/entity/Q26221197,Two Peasant Women Digging in Field with Snow,http://www.wikidata.org/entity/Q825450,Bernhard Koehler,http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art
http://www.wikidata.org/entity/Q20178788,Still Life with Apples,http://www.wikidata.org/entity/Q324935,Ferenc Hatvany,http://www.wikidata.org/entity/Q731126,J. Paul Getty Museum
http://www.wikidata.org/entity/Q60474736,The Aviator,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q42370205,NEPIP
http://www.wikidata.org/entity/Q19911666,Oleanders,http://www.wikidata.org/entity/Q2554450,Johanna van Gogh-Bonger,http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art
http://www.wikidata.org/entity/Q27970742,Mount Sainte-Victoire,http://www.wikidata.org/entity/Q825450,Bernhard Koehler,http://www.wikidata.org/entity/Q132783,Hermitage Museum
http://www.wikidata.org/entity/Q20553562,Two Nudes (Lovers),http://www.wikidata.org/entity/Q55680361,Oskar Reichel,http://www.wikidata.org/entity/Q49133,Museum of Fine Arts
http://www.wikidata.org/entity/Q18890630,Olga and Rosa Meissner,http://www.wikidata.org/entity/Q11157405,Rasmus Meyer,http://www.wikidata.org/entity/Q1770313,Art Museums of Bergen
http://www.wikidata.org/entity/Q11771568,Madame Augustine Roulin with Baby,http://www.wikidata.org/entity/Q19502360,Fritz Meyer-Fierz,http://www.wikidata.org/entity/Q42370205,NEPIP
http://www.wikidata.org/entity/Q26221197,Two Peasant Women Digging in Field with Snow,http://www.wikidata.org/entity/Q825450,Bernhard Koehler,http://www.wikidata.org/entity/Q666331,Foundation E.G. Bührle Collection
http://www.wikidata.org/entity/Q63869920,Avenue at Chantilly,http://www.wikidata.org/entity/Q1634926,Hugo Cassirer,http://www.wikidata.org/entity/Q1743116,Toledo Museum of Art
http://www.wikidata.org/entity/Q26221176,Two Poplars in the Alpilles near Saint-Rémy,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q42370205,NEPIP
http://www.wikidata.org/entity/Q5375476,Enclosed Field with Peasant,http://www.wikidata.org/entity/Q2554450,Johanna van Gogh-Bonger,http://www.wikidata.org/entity/Q1117704,Indianapolis Museum of Art
http://www.wikidata.org/entity/Q19911620,The Flowering Orchard,http://www.wikidata.org/entity/Q2298253,Henk Bremmer,http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art
http://www.wikidata.org/entity/Q7617093,Still Life with Profile of Laval,http://www.wikidata.org/entity/Q69860245,Mór Lipót Herzog,http://www.wikidata.org/entity/Q1117704,Indianapolis Museum of Art
http://www.wikidata.org/entity/Q49870534,Madame Cézanne in a Red Dress,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q82941,São Paulo Museum of Art
